epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.603,0.75204,1.68282,1.26036,0.88611,0.92568,0.9666,0.86751,0.48066,0.81778,1.03358,0.000543038,0.000543038,0.000543038
2,289.819,0.76396,1.04918,1.21439,0.436,0.41866,0.35619,0.12489,1.9832,2.65244,2.5493,0.00107695,0.00107695,0.00107695
3,420.573,0.84925,0.94267,1.245,0.12993,0.50478,0.09828,0.0372,2.32346,29.0837,4.17589,0.00158886,0.00158886,0.00158886
4,555.191,0.87535,0.89315,1.27431,0.54316,0.71077,0.66971,0.4583,1.00034,2.8798,1.39463,0.00156798,0.00156798,0.00156798
5,692.921,0.82375,0.91566,1.24268,0.67125,0.90361,0.85226,0.59518,0.79103,1.85266,1.25976,0.00153497,0.00153497,0.00153497
6,828.777,0.81641,0.77815,1.25063,0.90191,0.96314,0.98304,0.80096,0.77992,0.73851,1.27998,0.00150197,0.00150197,0.00150197
7,958.951,0.77275,0.7007,1.18023,0.92989,0.86547,0.94307,0.82065,0.66653,0.7989,1.24795,0.00146896,0.00146896,0.00146896
8,1103.14,0.75708,0.74678,1.16702,0.90397,0.79209,0.92866,0.79234,0.70281,0.88687,1.16443,0.00143595,0.00143595,0.00143595
9,1244.7,0.73375,0.68517,1.18536,0.9757,0.97619,0.98874,0.87419,0.53254,0.5421,1.03938,0.00140295,0.00140295,0.00140295
10,1391.39,0.67854,0.60265,1.15299,0.92096,0.96866,0.97565,0.83195,0.66802,0.75079,1.13623,0.00136994,0.00136994,0.00136994
11,1535.87,0.69821,0.6056,1.14338,0.97722,0.94409,0.98901,0.90852,0.45372,0.43763,0.97476,0.00133693,0.00133693,0.00133693
12,1682.48,0.65815,0.56648,1.12193,0.979,0.98587,0.9901,0.92443,0.41992,0.37624,0.94988,0.00130393,0.00130393,0.00130393
13,1817.34,0.66602,0.56759,1.12738,0.99383,0.99342,0.9905,0.93836,0.43813,0.36227,0.94738,0.00127092,0.00127092,0.00127092
14,1955.3,0.65767,0.59755,1.14618,0.97522,0.98386,0.98657,0.91161,0.49489,0.44355,0.99179,0.00123791,0.00123791,0.00123791
15,2104.58,0.60544,0.56441,1.09191,0.94225,0.96328,0.97707,0.91091,0.5031,0.49308,1.03754,0.00120491,0.00120491,0.00120491
16,2250.59,0.6057,0.52045,1.09523,0.97204,0.97089,0.98592,0.9305,0.4364,0.43466,0.95576,0.0011719,0.0011719,0.0011719
17,2392.49,0.62885,0.52771,1.11214,0.9879,0.98218,0.98983,0.92406,0.41861,0.32157,0.94356,0.00113889,0.00113889,0.00113889
18,2533.95,0.59383,0.49897,1.10426,0.9776,0.96997,0.98495,0.91986,0.49556,0.3824,1.00286,0.00110589,0.00110589,0.00110589
19,2685.43,0.60389,0.50439,1.10375,0.992,0.98473,0.98701,0.94618,0.455,0.36042,0.95955,0.00107288,0.00107288,0.00107288
20,2826.4,0.62953,0.54597,1.11164,0.98596,0.98251,0.98902,0.93454,0.44217,0.35809,0.97545,0.00103987,0.00103987,0.00103987
21,2976.88,0.62324,0.53196,1.10409,0.96341,0.98873,0.98814,0.92631,0.43231,0.37695,0.95308,0.00100687,0.00100687,0.00100687
22,3124.44,0.61591,0.49862,1.10532,0.97323,0.99259,0.99,0.93189,0.49882,0.3682,0.9794,0.000973861,0.000973861,0.000973861
23,3266.68,0.57545,0.47538,1.09267,0.99495,0.98433,0.99062,0.94518,0.43625,0.32887,0.99028,0.000940855,0.000940855,0.000940855
24,3424.68,0.61797,0.49968,1.12324,0.99858,0.99342,0.9925,0.93235,0.48161,0.31589,1.00203,0.000907848,0.000907848,0.000907848
25,3577.69,0.57004,0.47666,1.07151,0.99154,0.99276,0.99103,0.9475,0.35298,0.27985,0.90145,0.000874842,0.000874842,0.000874842
26,3720.19,0.53676,0.44964,1.04958,0.98415,0.98433,0.98762,0.95846,0.34588,0.2896,0.90711,0.000841835,0.000841835,0.000841835
27,3864.23,0.51802,0.42135,1.04824,0.98972,0.98433,0.98739,0.95913,0.36088,0.27646,0.92101,0.000808828,0.000808828,0.000808828
28,4005.82,0.53493,0.41899,1.06728,0.99874,0.99342,0.99167,0.95375,0.37998,0.27919,0.92459,0.000775822,0.000775822,0.000775822
29,4153.72,0.51936,0.43857,1.06159,0.9896,0.99342,0.99076,0.95361,0.31102,0.25926,0.87979,0.000742815,0.000742815,0.000742815
30,4299.28,0.50395,0.40409,1.0467,0.98722,0.99342,0.99195,0.96149,0.33712,0.25009,0.88523,0.000709809,0.000709809,0.000709809
31,4437.63,0.54489,0.43049,1.06222,0.979,0.99342,0.99184,0.95939,0.34814,0.29496,0.90598,0.000676802,0.000676802,0.000676802
32,4586.74,0.47444,0.37946,1.02844,0.99844,0.99342,0.99162,0.95253,0.34479,0.26212,0.90683,0.000643795,0.000643795,0.000643795
33,4735.43,0.50125,0.4049,1.04901,0.9995,0.99064,0.99131,0.95843,0.33351,0.25598,0.8808,0.000610789,0.000610789,0.000610789
34,4889.78,0.49872,0.40116,1.04351,0.99474,0.98143,0.99248,0.95759,0.34207,0.26752,0.88334,0.000577782,0.000577782,0.000577782
35,5034.79,0.49663,0.38575,1.05758,0.99901,0.99342,0.9925,0.96554,0.36586,0.25176,0.91724,0.000544776,0.000544776,0.000544776
36,5175.82,0.48496,0.37257,1.03427,0.9972,0.99238,0.99313,0.97282,0.30608,0.24206,0.87342,0.000511769,0.000511769,0.000511769
37,5317.18,0.46082,0.35704,1.01036,0.99905,0.99342,0.99313,0.97117,0.28972,0.22331,0.86696,0.000478762,0.000478762,0.000478762
38,5454.46,0.45821,0.34904,1.03172,0.99891,0.99342,0.993,0.96981,0.27442,0.21719,0.84851,0.000445756,0.000445756,0.000445756
39,5594.02,0.43815,0.33817,0.99936,0.9989,0.99342,0.9931,0.97782,0.24556,0.20333,0.84067,0.000412749,0.000412749,0.000412749
40,5730.77,0.43927,0.34978,1.01419,0.99917,0.99342,0.99317,0.97606,0.28446,0.20752,0.85133,0.000379743,0.000379743,0.000379743
41,5868.07,0.2393,0.2205,0.88355,0.99862,0.99342,0.99313,0.97509,0.28465,0.20702,0.85237,0.000346736,0.000346736,0.000346736
42,6005.63,0.23634,0.20625,0.8621,0.99895,0.99342,0.99324,0.97636,0.2713,0.21142,0.84744,0.000313729,0.000313729,0.000313729
43,6144.4,0.22273,0.19133,0.84636,0.99915,0.99342,0.99317,0.97484,0.28077,0.21017,0.85153,0.000280723,0.000280723,0.000280723
44,6283.41,0.23569,0.2002,0.85944,0.99898,0.99342,0.99288,0.97198,0.30239,0.20655,0.86741,0.000247716,0.000247716,0.000247716
45,6423.36,0.21631,0.1926,0.86731,0.99879,0.99342,0.99328,0.97387,0.27194,0.19864,0.84656,0.00021471,0.00021471,0.00021471
46,6553.07,0.20829,0.17741,0.84919,0.9988,0.99342,0.99348,0.97161,0.26598,0.18893,0.84063,0.000181703,0.000181703,0.000181703
47,6683.85,0.20127,0.17587,0.83901,0.99893,0.99342,0.99361,0.97602,0.2477,0.18192,0.83407,0.000148696,0.000148696,0.000148696
48,6808.4,0.19683,0.16969,0.84111,0.9991,0.99342,0.99361,0.97642,0.2488,0.18119,0.83295,0.00011569,0.00011569,0.00011569
49,6949.81,0.19201,0.17121,0.84283,0.99901,0.99342,0.99356,0.97534,0.24358,0.18138,0.83225,8.26832e-05,8.26832e-05,8.26832e-05
50,7094.28,0.18308,0.16222,0.83071,0.99904,0.99342,0.99365,0.97383,0.23548,0.1726,0.82928,4.96766e-05,4.96766e-05,4.96766e-05
